"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"event_study"
"07/11/2026 16:08:05:306 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","reserve-ratio","fundamental-shock?","lolr-active?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","ticks-since-shock","liquidity-ratio","frac-withdrawn","frac-concerned","bank-alive?"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","5","-1","0.04","0","0.02","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","7","-1","0.04","0","0.035","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","8","-1","0.04","0","0.05","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","7","-1","0.04","0","0.025","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","9","-1","0.04","0","0.015","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","6","-1","0.04","0","0.02","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","5","-1","0.04","0","0.02","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","9","-1","0.04","0","0.05","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","8","-1","0.04","0","0.04","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","10","-1","0.04","0","0.02","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","8","-1","0.04","0","0.025","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","10","-1","0.04","0","0.05","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","7","-1","0.04","0","0.025","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","11","-1","0.04","0","0.02","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","6","-1","0.04","0","0.045","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","11","-1","0.04","0","0.045","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","9","-1","0.04","0","0.04","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","9","-1","0.04","0","0.03","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","7","-1","0.04","0","0.07","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","8","-1","0.04","0","0.025","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","12","-1","0.04","0","0.015","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","12","-1","0.04","0","0.05","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","10","-1","0.04","0","0.04","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","13","-1","0.04","0","0.065","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","8","-1","0.04","0","0.07","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","13","-1","0.04","0","0.03","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","10","-1","0.04","0","0.03","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","9","-1","0.04","0","0.035","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","14","-1","0.04","0","0.065","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","11","-1","0.04","0","0.05","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","9","-1","0.04","0","0.075","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","14","-1","0.04","0","0.03","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","15","-1","0.04","0","0.07","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","10","-1","0.04","0","0.035","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","11","-1","0.04","0","0.045","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","15","-1","0.04","0","0.04","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","12","-1","0.04","0","0.045","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","11","-1","0.04","0","0.04","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","16","-1","0.04","0","0.07","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","10","-1","0.04","0","0.075","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","12","-1","0.04","0","0.055","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","12","-1","0.04","0","0.04","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","13","-1","0.04","0","0.04","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","16","-1","0.04","0","0.05","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","13","-1","0.04","0","0.06","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","17","-1","0.04","0","0.075","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","11","-1","0.04","0","0.075","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","13","-1","0.04","0","0.04","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","14","-1","0.04","0","0.04","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","14","-1","0.04","0","0.075","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","17","-1","0.04","0","0.05","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","18","-1","0.04","0","0.085","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","14","-1","0.04","0","0.045","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","12","-1","0.04","0","0.075","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","15","-1","0.04","0","0.04","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","18","-1","0.04","0","0.05","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","15","-1","0.04","0","0.085","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","19","-1","0.04","0","0.085","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","15","-1","0.04","0","0.04","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","13","-1","0.04","0","0.085","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","16","-1","0.04","0","0.045","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","19","-1","0.04","0","0.055","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","16","-1","0.04","0","0.09","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","20","-1","0.04","0","0.105","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","16","-1","0.04","0","0.05","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","17","-1","0.04","0","0.06","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","14","-1","0.04","0","0.1","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","20","-1","0.04","0","0.06","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","21","-1","0.04","0","0.105","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","18","-1","0.04","0","0.065","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","17","-1","0.04","0","0.05","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","15","-1","0.04","0","0.105","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","17","-1","0.04","0","0.095","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","22","-1","0.04","0","0.11","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","16","-1","0.04","0","0.11","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","18","-1","0.04","0","0.055","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","19","-1","0.04","0","0.065","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","21","-1","0.04","0","0.06","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","18","-1","0.04","0","0.085","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","23","-1","0.04","0","0.12","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","19","-1","0.04","0","0.06","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","20","-1","0.04","0","0.065","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","17","-1","0.04","0","0.105","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","19","-1","0.04","0","0.1","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","22","-1","0.04","0","0.065","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","20","-1","0.04","0","0.065","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","24","-1","0.04","0","0.11","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","23","-1","0.04","0","0.075","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","21","-1","0.04","0","0.06","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","20","-1","0.04","0","0.105","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","18","-1","0.04","0","0.125","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","21","-1","0.04","0","0.065","true"
