"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"pilot_smoketest"
"07/11/2026 15:43:12:272 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","lolr-active?","reserve-ratio","fundamental-shock?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","bank-alive?","ticks-since-shock","peak-withdrawn","frac-withdrawn","frac-concerned","liquidity-ratio","count links / count turtles"
"39","6","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.235","0.1","3"
"37","6","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.23","0.1","3"
"40","6","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.235","0.1","3"
"44","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.215","0.1","5"
"42","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.195","0.1","5"
"45","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.19","0.1","5"
"41","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.175","0.1","5"
"43","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.175","0.1","5"
"48","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.17","0.10000000000000002","5"
"47","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.18","0.1","5"
"46","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.215","0.1","5"
"50","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.205","0.1","5"
"49","10","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.175","0.10000000000000002","5"
"52","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.185","0.1","5"
"51","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.175","0.1","5"
"53","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.19","0.1","5"
"54","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.24","0.1","5"
"56","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.22","0.1","5"
"58","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.17","0.1","5"
"55","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.225","0.10000000000000002","5"
"57","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.175","0.1","5"
"60","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.165","0.1","5"
"59","10","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.21","0.1","5"
