"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"degree_vs_lethality"
"07/11/2026 15:56:57:672 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","reserve-ratio","fundamental-shock?","lolr-active?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","bank-alive?","ticks-since-shock","peak-withdrawn","frac-withdrawn","frac-concerned","liquidity-ratio","count links / count turtles"
"38","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.075","0.075","0.17","-0.04529935320903406","1"
"25","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.03","0.01","0.275","0.02","1"
"17","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.255","0.020000000000000004","1"
"40","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.205","-0.006850870222188332","1"
"30","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.24","0.020000000000000004","1"
"41","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.195","-0.03178674210291169","1"
"43","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.16","-0.017936088697880395","1"
"24","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.21","0.020000000000000004","1"
"45","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.175","-0.0034308509102963683","1"
"48","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.06","0.06","0.14","-0.027421834873366864","1"
"44","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.05","0.05","0.255","-0.0264323950775949","1"
"50","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.18","-0.004433177049287885","1"
"51","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.185","-0.02155071300206935","1"
"53","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.18","-0.014005361008081451","1"
"52","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.16","-0.033540458371080786","1"
"54","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.075","0.075","0.215","-0.05816895293924757","1"
"55","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.04","0.04","0.105","-0.028099480914817055","1"
"57","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.06","0.06","0.17","-0.02859836560123344","1"
"56","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.06","0.06","0.175","-0.04325545761149925","1"
"58","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.095","-0.015457267694673817","1"
"42","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.25","0.02","1"
"59","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.06","0.06","0.175","-0.04115751565062992","1"
"61","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.03","0.03","0.145","-0.006184514374817747","1"
"62","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.185","-0.037810605485466615","1"
"46","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.34","0.02","1"
"60","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.025","0.025","0.15","-0.0082149754402207","1"
"49","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.03","0","0.275","0.02","1"
"63","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.17","-0.021786663018114237","1"
"64","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.115","-0.0262843479962824","1"
"65","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.06","0.06","0.24","-0.04543113917138601","1"
"66","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.135","-0.028267648083735702","1"
"68","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.065","0.065","0.17","-0.03562157772505095","1"
"67","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.02","0.02","0.195","-0.002713806222024795","1"
"47","2","0.02","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.285","0.020000000000000004","1"
"71","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.07","0.07","0.225","-0.054604887001337706","1"
"70","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.21","-0.03471992530836055","1"
"72","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.075","0.075","0.185","-0.06091369594005021","1"
"73","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.04","0.04","0.175","-0.02349170810702085","1"
"69","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.15","-0.03522922929587236","1"
"76","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.02","0.02","0.12","-1.9246419269601306E-4","1"
"78","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.03","0.03","0.16","-8.565484274051042E-4","1"
"79","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.065","0.065","0.1","-0.04638171596036776","1"
"74","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.07","0.07","0.175","-0.052518819462272145","1"
"81","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.145","-0.015102723266437836","1"
"80","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.06","0.06","0.185","-0.049329508083340606","1"
"83","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.04","0.04","0.215","-0.006316822957935226","1"
"82","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.07","0.07","0.235","-0.05847310886044432","1"
"85","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.155","-0.023513270811159077","1"
"86","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.155","-0.035106375482520394","1"
"87","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.075","0.075","0.18","-0.06314645414858219","1"
"84","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.08","0.08","0.17","-0.07166556432646398","1"
"89","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.075","0.075","0.165","-0.052322967832968026","1"
"90","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.065","0.065","0.175","-0.04488732157490362","1"
"91","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.075","0.075","0.17","-0.049992948195133585","1"
"92","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.03","0.03","0.16","-0.010103110634938677","1"
"94","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.095","0.095","0.19","-0.0742236398505078","1"
"93","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.045","0.045","0.2","-0.02282244146796979","1"
"95","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.055","0.055","0.195","-0.0384488762458531","1"
"98","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.14","-0.019317699604763074","1"
"97","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.045","0.045","0.13","-0.023799784274548843","1"
"99","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.045","0.045","0.135","-0.035571652600219605","1"
"96","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.035","0.035","0.175","-0.009976636327961206","1"
"100","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","false","1","0.04","0.04","0.135","-0.01601189022526455","1"
"75","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.3","0.02","1"
"77","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.255","0.02","1"
"88","2","0.02","false","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.245","0.02","1"
"102","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.27","0.02","1"
"101","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.26","0.02","1"
"104","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.37","0.02","1"
"107","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.29","0.02","1"
"105","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0.005","0.36","0.02","1"
"106","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0.005","0.275","0.02","1"
"103","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.25","0.02","1"
"109","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.335","0.02","1"
"110","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.35","0.02","1"
"108","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0.005","0.26","0.02","1"
"112","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.295","0.020000000000000004","1"
"111","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.335","0.02","1"
